Time (s),R (V), Theta (degrees)
0.0,0.01357085,132.8135
0.001953125,0.01370817,132.7275
0.00390625,0.01396757,133.3994
0.005859375,0.01401144,133.6338
0.0078125,0.01422316,133.3682
0.009765625,0.01432806,133.8838
0.01171875,0.0143128,133.5557
0.013671875,0.01447111,133.5947
0.015625,0.01447684,133.9385
0.017578125,0.01450545,133.3604
0.01953125,0.0146237,133.6807
0.021484375,0.01455122,133.7588
0.0234375,0.01466757,133.2979
0.025390625,0.01471907,133.7744
0.02734375,0.01463705,133.4229
0.029296875,0.01477438,133.3682
0.03125,0.01473624,133.7588
0.033203125,0.01473051,133.1494
0.03515625,0.01482016,133.4072
0.037109375,0.01472098,133.3916
0.0390625,0.01477438,133.0869
0.041015625,0.01460654,132.6885
0.04296875,0.01456457,132.5322
0.044921875,0.01431853,132.4932
0.046875,0.01427275,131.8916
0.048828125,0.01419073,132.1885
0.05078125,0.01395231,131.8525
0.052734375,0.01400572,131.6963
0.0546875,0.01385885,132.1104
0.056640625,0.01373678,131.501
0.05859375,0.01379019,131.7744
0.060546875,0.0135861,131.9697
0.0625,0.01361662,131.4619
0.064453125,0.01361281,131.9541
0.06640625,0.01342779,131.7432
0.068359375,0.01354414,131.6182
0.0703125,0.01346213,132.1104
0.072265625,0.01339155,131.5947
0.07421875,0.01349264,131.8916
0.076171875,0.01338011,132.1104
0.078125,0.01346785,131.8057
0.080078125,0.01349646,132.2354
0.08203125,0.01365668,132.3291
0.083984375,0.01374823,132.9854
0.0859375,0.01395804,132.5869
0.087890625,0.01413733,133.2275
0.08984375,0.01412398,133.2197
0.091796875,0.01433951,133.0791
0.09375,0.01437765,133.5557
0.095703125,0.01437575,133.1182
0.09765625,0.0145207,133.3057
0.099609375,0.01448637,133.6416
0.1015625,0.0145703,133.0869
0.103515625,0.01466185,133.5557
0.10546875,0.01457602,133.4541
0.107421875,0.01471144,133.1729
0.109375,0.01471525,133.626
0.111328125,0.01466376,133.126
0.11328125,0.01476866,133.2432
0.115234375,0.01470762,133.5322
0.1171875,0.01474768,132.9619
0.119140625,0.01476294,133.3291
0.12109375,0.01471335,132.7354
0.123046875,0.01452643,132.7275
0.125,0.01439673,131.9775
0.126953125,0.0143376,132.1338
0.12890625,0.01406485,132.001
0.130859375,0.01408583,131.5713
0.1328125,0.01397139,132.001
0.134765625,0.01377302,131.5166
0.13671875,0.0138436,131.5869
0.138671875,0.01366431,131.9541
0.140625,0.01362044,131.3604
0.142578125,0.01365477,131.7744
0.14453125,0.0134545,131.8057
0.146484375,0.01354223,131.4619
0.1484375,0.013506,131.9854
0.150390625,0.01336676,131.5869
0.15234375,0.01348883,131.7275
0.154296875,0.01339918,132.1025
0.15625,0.01342779,131.7666
0.158203125,0.01346213,132.4385
0.16015625,0.01366431,132.7744
0.162109375,0.01381499,133.4229
0.1640625,0.01395804,133.0088
0.166015625,0.01416594,133.501
0.16796875,0.01417738,133.6885
0.169921875,0.01435286,133.2666
0.171875,0.01443869,133.7588
0.173828125,0.01440626,133.3994
0.17578125,0.01455504,133.3213
0.177734375,0.01455122,133.665
0.1796875,0.0145703,133.0635
0.181640625,0.01468855,133.3525
0.18359375,0.01461607,133.501
0.185546875,0.01472479,133.0088
0.1875,0.01477057,133.5088
0.189453125,0.01467711,133.2197
0.19140625,0.01480299,133.165
0.193359375,0.01476675,133.5557
0.1953125,0.01474768,132.9541
0.197265625,0.01481444,133.1963
0.19921875,0.01471716,132.915
0.201171875,0.01466948,132.8994
0.203125,0.01448828,132.29
0.205078125,0.01446158,132.2666
0.20703125,0.01421744,132.29
0.208984375,0.01417929,131.6963
0.2109375,0.01411253,132.0557
0.212890625,0.01387602,131.7822
0.21484375,0.01394087,131.6025
0.216796875,0.01380354,132.0635
0.21875,0.01367766,131.4775
0.220703125,0.01374251,131.7432
0.22265625,0.01355177,131.9775
0.224609375,0.01357657,131.4619
0.2265625,0.0135861,131.9463
0.228515625,0.013403,131.7744
0.23046875,0.01352125,131.6338
0.232421875,0.0134545,132.1104
0.234375,0.01338774,131.6572
0.236328125,0.01349455,131.9541
0.23828125,0.01342398,132.1729
0.240234375,0.01359373,132.4307
0.2421875,0.0136376,132.3916
0.244140625,0.01390272,132.8604
0.24609375,0.01395231,133.376
0.248046875,0.01411062,132.9307
0.25,0.01426512,133.5479
0.251953125,0.01423651,133.4541
0.25390625,0.01439101,133.2432
0.255859375,0.01443869,133.7197
0.2578125,0.01442152,133.2666
0.259765625,0.01457793,133.415
0.26171875,0.0145455,133.7354
0.263671875,0.01461416,133.1416
0.265625,0.0147019,133.5557
0.267578125,0.01460844,133.4697
0.26953125,0.01473433,133.1572
0.271484375,0.01473624,133.5791
0.2734375,0.01467329,133.1338
0.275390625,0.01478773,133.2197
0.27734375,0.01470953,133.4385
0.279296875,0.01474577,133.1182
0.28125,0.01453978,132.8682
0.283203125,0.01452643,132.6729
0.28515625,0.0143109,132.8447
0.287109375,0.01419646,132.1572
0.2890625,0.01416785,132.415
0.291015625,0.01391417,132.3369
0.29296875,0.01394278,131.8994
0.294921875,0.01385695,132.3369
0.296875,0.01366621,131.8838
0.298828125,0.01375204,131.915
0.30078125,0.01359564,132.29
0.302734375,0.01354796,131.6494
0.3046875,0.01359946,132.0322
0.306640625,0.01341063,132.0791
0.30859375,0.01350027,131.6963
0.310546875,0.0134812,132.1729
0.3125,0.01336104,131.8369
0.314453125,0.01349264,131.9307
0.31640625,0.01343733,132.2275
0.318359375,0.01358229,132.1885
0.3203125,0.01362807,132.29
0.322265625,0.01388365,132.3682
0.32421875,0.0139733,132.9697
0.326171875,0.01408583,132.4854
0.328125,0.01426131,132.9229
0.330078125,0.01424605,133.1494
0.33203125,0.01440436,132.7822
0.333984375,0.01447874,133.3057
0.3359375,0.01443106,133.0557
0.337890625,0.01457602,133.0166
0.33984375,0.01457602,133.4229
0.341796875,0.01457793,132.8682
0.34375,0.01470762,133.1963
0.345703125,0.01463324,133.376
0.34765625,0.01473624,132.876
0.349609375,0.01478392,133.3682
0.3515625,0.01468855,133.1104
0.353515625,0.0148049,132.9932
0.35546875,0.01476294,133.3994
0.357421875,0.01474005,132.8604
0.359375,0.0147,133.126
0.361328125,0.01466185,132.5869
0.36328125,0.01449972,132.626
0.365234375,0.01432425,132.0322
0.3671875,0.01432425,132.0635
0.369140625,0.01408201,132.1572
0.37109375,0.01404768,131.5635
0.373046875,0.014,131.9541
0.375,0.01376158,131.7197
0.376953125,0.01383597,131.5322
0.37890625,0.01371771,132.0088
0.380859375,0.01359183,131.4619
0.3828125,0.01367003,131.7041
0.384765625,0.01349837,131.9775
0.38671875,0.01351935,131.4307
0.388671875,0.01354223,131.9229
0.390625,0.01336485,131.7744
0.392578125,0.01348692,131.6572
0.39453125,0.01344496,132.1104
0.396484375,0.01340491,131.7354
0.3984375,0.01351172,132.1885
0.400390625,0.01362616,132.0244
0.40234375,0.01380545,132.8291
0.404296875,0.01389319,132.4775
0.40625,0.01412016,132.8057
0.408203125,0.01415259,133.2354
0.41015625,0.01428229,132.6963
0.412109375,0.01439291,133.0947
0.4140625,0.01435095,133.0791
0.416015625,0.01450926,132.79
0.41796875,0.01455122,133.3213
0.419921875,0.0145207,132.8604
0.421875,0.01466376,132.9854
0.423828125,0.01461798,133.3525
0.42578125,0.01466948,132.79
0.427734375,0.01474768,133.1963
0.4296875,0.01465422,133.1807
0.431640625,0.01476675,132.8604
0.43359375,0.01477438,133.3135
0.435546875,0.01469809,132.8838
0.4375,0.01476675,133.126
0.439453125,0.01467139,132.5791
0.44140625,0.01455885,132.6494
0.443359375,0.0143128,132.1572
0.4453125,0.01432234,132.04
0.447265625,0.01411444,132.29
0.44921875,0.01400763,131.6182
0.451171875,0.01400381,131.9229
0.453125,0.01376349,131.9307
0.455078125,0.01380545,131.5166
0.45703125,0.0137406,132.0166
0.458984375,0.01355749,131.6104
0.4609375,0.01365668,131.6416
0.462890625,0.01351935,132.0635
0.46484375,0.01347357,131.4775
0.466796875,0.01354033,131.8604
0.46875,0.01337057,131.9541
0.470703125,0.01345831,131.5947
0.47265625,0.0134545,132.0869
0.474609375,0.01336485,131.8994
0.4765625,0.013506,132.0713
0.478515625,0.013506,132.0322
0.48046875,0.01370245,132.7041
0.482421875,0.01375014,132.6729
0.484375,0.01401526,132.8213
0.486328125,0.01408583,133.3994
0.48828125,0.01416022,132.9307
0.490234375,0.01434141,133.3213
0.4921875,0.01430517,133.5088
0.494140625,0.01443487,133.0869
0.49609375,0.01450163,133.5713
0.498046875,0.01443678,133.3682
0.5,0.01459318,133.2744
0.501953125,0.01459891,133.7588
